Case Id,Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id
6595CP,4721,2017-12-17 17:02:18,2017-12-17 17:02:18,check if the product was shaked,process activity,clerk,1c,product,6595p
6595CP,4737,2017-12-17 17:11:18,2017-12-17 17:11:18,Product Delivered,process activity,clerk,1c,product,6595p
31CP,4739,2017-12-17 17:12:18,2017-12-17 17:12:18,check if the product was shaked,process activity,clerk,1c,product,31p
4023CP,4719,2017-12-17 17:01:18,2017-12-17 17:14:18,Request product,process activity,clerk,1c,product,4023p
4023CP,4741,2017-12-17 17:15:18,2017-12-17 17:15:18,Assgin robot,process activity,robot,13r,shelf,392s
5845CP,4738,2017-12-17 17:11:18,2017-12-17 17:31:18,Request product,process activity,clerk,1c,product,5845p
5845CP,4757,2017-12-17 17:31:18,2017-12-17 17:32:18,Assgin robot,process activity,robot,29r,shelf,225s
31CP,4758,2017-12-17 17:32:18,2017-12-17 17:32:18,Product Delivered,process activity,clerk,1c,product,31p
4669CP,4764,2017-12-17 17:35:18,2017-12-17 17:35:18,check if the product was shaked,process activity,clerk,1c,product,4669p
9355CP,4743,2017-12-17 17:19:18,2017-12-17 17:36:18,Request product,process activity,clerk,1c,product,9355p
9355CP,4767,2017-12-17 17:36:18,2017-12-17 17:36:18,Assgin robot,process activity,robot,70r,shelf,106s
9083CP,4760,2017-12-17 17:33:18,2017-12-17 17:44:18,Request product,process activity,clerk,1c,product,9083p
9083CP,4778,2017-12-17 17:45:18,2017-12-17 17:45:18,Assgin robot,process activity,robot,12r,shelf,367s
4669CP,4792,2017-12-17 18:02:18,2017-12-17 18:02:18,Product Delivered,process activity,clerk,1c,product,4669p
7751CP,4794,2017-12-17 18:02:18,2017-12-17 18:02:18,check if the product was shaked,process activity,clerk,1c,product,7751p
7961CP,4795,2017-12-17 18:03:18,2017-12-17 18:15:18,Request product,process activity,clerk,1c,product,7961p
7961CP,4811,2017-12-17 18:16:18,2017-12-17 18:18:18,Assgin robot,process activity,robot,5r,shelf,57s
7751CP,4817,2017-12-17 18:22:18,2017-12-17 18:22:18,Product Delivered,process activity,clerk,1c,product,7751p
5002CP,4820,2017-12-17 18:23:18,2017-12-17 18:23:18,check if the product was shaked,process activity,clerk,1c,product,5002p
4928CP,4821,2017-12-17 18:24:18,2017-12-17 18:27:18,Request product,process activity,clerk,1c,product,4928p
4928CP,4828,2017-12-17 18:28:18,2017-12-17 18:28:18,Assgin robot,process activity,robot,47r,shelf,234s
5002CP,4840,2017-12-17 18:46:18,2017-12-17 18:46:18,Product Delivered,process activity,clerk,1c,product,5002p
5102CP,4841,2017-12-17 18:47:18,2017-12-17 18:47:18,check if the product was shaked,process activity,clerk,1c,product,5102p
5102CP,4847,2017-12-17 19:09:18,2017-12-17 19:09:18,Product Delivered,process activity,clerk,1c,product,5102p
1637CP,4843,2017-12-17 18:47:18,2017-12-17 19:09:18,Request product,process activity,clerk,1c,product,1637p
1637CP,4848,2017-12-17 19:10:18,2017-12-17 19:10:18,Assgin robot,process activity,robot,56r,shelf,247s
6544CP,4849,2017-12-17 19:10:18,2017-12-17 19:10:18,check if the product was shaked,process activity,clerk,1c,product,6544p
943CP,4850,2017-12-17 19:11:18,2017-12-17 19:13:18,Request product,process activity,clerk,1c,product,943p
943CP,4853,2017-12-17 19:13:18,2017-12-17 19:13:18,Assgin robot,process activity,robot,30r,shelf,79s
6544CP,4866,2017-12-17 19:29:18,2017-12-17 19:29:18,Product Delivered,process activity,clerk,1c,product,6544p
9549CP,4870,2017-12-17 19:32:18,2017-12-17 19:32:18,check if the product was shaked,process activity,clerk,1c,product,9549p
9549CP,4882,2017-12-17 19:52:18,2017-12-17 19:52:18,Product Delivered,process activity,clerk,1c,product,9549p
6888CP,4884,2017-12-17 19:52:18,2017-12-17 19:52:18,check if the product was shaked,process activity,clerk,1c,product,6888p
9372CP,4871,2017-12-17 19:32:18,2017-12-17 19:52:18,Request product,process activity,clerk,1c,product,9372p
9372CP,4885,2017-12-17 19:53:18,2017-12-17 19:53:18,Assgin robot,process activity,robot,26r,shelf,274s
6888CP,4898,2017-12-17 20:09:18,2017-12-17 20:09:18,Product Delivered,process activity,clerk,1c,product,6888p
8068CP,4900,2017-12-17 20:09:18,2017-12-17 20:09:18,check if the product was shaked,process activity,clerk,1c,product,8068p
9787CP,4883,2017-12-17 19:52:18,2017-12-17 20:11:18,Request product,process activity,clerk,1c,product,9787p
9787CP,4902,2017-12-17 20:11:18,2017-12-17 20:11:18,Assgin robot,process activity,robot,20r,shelf,105s
