Case Id,Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id
3896RP,1449,2017-12-15 11:44:18,2017-12-15 11:55:18,putdown current shelf,process activity,robot,6r,shelf,-1s
5293RP,1437,2017-12-15 11:37:18,2017-12-15 11:55:18,go to approriate shelf,process activity,robot,19r,shelf,483s
8816RP,1431,2017-12-15 11:34:18,2017-12-15 11:58:18,go to approriate shelf,process activity,robot,95r,shelf,422s
7060RP,1442,2017-12-15 11:39:18,2017-12-15 11:59:18,move shelf from dock,process activity,robot,72r,shelf,465s
7682RP,1438,2017-12-15 11:38:18,2017-12-15 12:00:18,putdown current shelf,process activity,robot,94r,shelf,-1s
6966RP,1472,2017-12-15 11:59:18,2017-12-15 12:01:18,putdown current shelf,process activity,robot,17r,shelf,-1s
7607RP,1450,2017-12-15 11:45:18,2017-12-15 12:05:18,reduce speed,process activity,robot,73r,shelf,160s
7607RP,1428,2017-12-15 11:31:18,2017-12-15 12:05:18,move shelf to dock,process activity,robot,73r,shelf,160s
3896RP,1467,2017-12-15 11:55:18,2017-12-15 12:07:18,go to approriate shelf,process activity,robot,6r,shelf,72s
3480RP,1466,2017-12-15 11:55:18,2017-12-15 12:11:18,move shelf to dock,process activity,robot,28r,shelf,357s
7682RP,1475,2017-12-15 12:01:18,2017-12-15 12:13:18,go to approriate shelf,process activity,robot,94r,shelf,174s
5091RP,1448,2017-12-15 11:44:18,2017-12-15 12:14:18,go to approriate shelf,process activity,robot,2r,shelf,384s
764RP,1459,2017-12-15 11:50:18,2017-12-15 12:15:18,go to approriate shelf,process activity,robot,61r,shelf,38s
8475RP,1453,2017-12-15 11:46:18,2017-12-15 12:17:18,move shelf from dock,process activity,robot,44r,shelf,305s
5293RP,1490,2017-12-15 12:11:18,2017-12-15 12:20:18,move shelf to dock,process activity,robot,19r,shelf,483s
6966RP,1478,2017-12-15 12:01:18,2017-12-15 12:22:18,go to approriate shelf,process activity,robot,17r,shelf,297s
4178RP,1483,2017-12-15 12:05:18,2017-12-15 12:24:18,putdown current shelf,process activity,robot,69r,shelf,-1s
8816RP,1482,2017-12-15 12:05:18,2017-12-15 12:24:18,move shelf to dock,process activity,robot,95r,shelf,422s
6879RP,1465,2017-12-15 11:54:18,2017-12-15 12:26:18,go to approriate shelf,process activity,robot,18r,shelf,240s
1157RP,1463,2017-12-15 11:54:18,2017-12-15 12:27:18,move shelf to dock,process activity,robot,10r,shelf,20s
5907RP,1480,2017-12-15 12:03:18,2017-12-15 12:30:18,putdown current shelf,process activity,robot,32r,shelf,-1s
7102RP,1476,2017-12-15 12:01:18,2017-12-15 12:31:18,putdown current shelf,process activity,robot,23r,shelf,-1s
7682RP,1500,2017-12-15 12:20:18,2017-12-15 12:32:18,move shelf to dock,process activity,robot,94r,shelf,174s
764RP,1496,2017-12-15 12:18:18,2017-12-15 12:35:18,move shelf to dock,process activity,robot,61r,shelf,38s
8033RP,1492,2017-12-15 12:12:18,2017-12-15 12:41:18,go to approriate shelf,process activity,robot,36r,shelf,287s
3896RP,1534,2017-12-15 12:40:18,2017-12-15 12:43:18,reduce speed,process activity,robot,6r,shelf,72s
3896RP,1486,2017-12-15 12:08:18,2017-12-15 12:43:18,move shelf to dock,process activity,robot,6r,shelf,72s
7102RP,1516,2017-12-15 12:31:18,2017-12-15 12:47:18,go to approriate shelf,process activity,robot,23r,shelf,90s
4178RP,1507,2017-12-15 12:24:18,2017-12-15 12:48:18,go to approriate shelf,process activity,robot,69r,shelf,440s
5091RP,1498,2017-12-15 12:19:18,2017-12-15 12:53:18,move shelf to dock,process activity,robot,2r,shelf,384s
8033RP,1541,2017-12-15 12:43:18,2017-12-15 12:54:18,move shelf to dock,process activity,robot,36r,shelf,287s
1019RP,1553,2017-12-15 12:51:18,2017-12-15 12:57:18,putdown current shelf,process activity,robot,4r,shelf,-1s
7325RP,1543,2017-12-15 12:45:18,2017-12-15 12:58:18,putdown current shelf,process activity,robot,78r,shelf,-1s
9441RP,1524,2017-12-15 12:35:18,2017-12-15 12:59:18,move shelf from dock,process activity,robot,24r,shelf,165s
4525RP,1533,2017-12-15 12:39:18,2017-12-15 13:01:18,putdown current shelf,process activity,robot,65r,shelf,-1s
7541RP,1515,2017-12-15 12:31:18,2017-12-15 13:02:18,reduce speed,process activity,robot,82r,shelf,86s
7541RP,1462,2017-12-15 11:53:18,2017-12-15 13:02:18,move shelf to dock,process activity,robot,82r,shelf,86s
5907RP,1513,2017-12-15 12:30:18,2017-12-15 13:03:18,go to approriate shelf,process activity,robot,32r,shelf,39s
2568RP,1540,2017-12-15 12:43:18,2017-12-15 13:05:18,putdown current shelf,process activity,robot,81r,shelf,-1s
6879RP,1555,2017-12-15 12:52:18,2017-12-15 13:05:18,reduce speed,process activity,robot,18r,shelf,240s
6879RP,1528,2017-12-15 12:37:18,2017-12-15 13:06:18,move shelf to dock,process activity,robot,18r,shelf,240s
1019RP,1564,2017-12-15 12:58:18,2017-12-15 13:08:18,go to approriate shelf,process activity,robot,4r,shelf,307s
7325RP,1567,2017-12-15 12:59:18,2017-12-15 13:12:18,go to approriate shelf,process activity,robot,78r,shelf,396s
3725RP,1566,2017-12-15 12:58:18,2017-12-15 13:13:18,putdown current shelf,process activity,robot,35r,shelf,-1s
5057RP,1552,2017-12-15 12:51:18,2017-12-15 13:14:18,putdown current shelf,process activity,robot,40r,shelf,-1s
2127RP,1556,2017-12-15 12:52:18,2017-12-15 13:15:18,putdown current shelf,process activity,robot,8r,shelf,-1s
5057RP,1590,2017-12-15 13:14:18,2017-12-15 13:16:18,go to approriate shelf,process activity,robot,40r,shelf,189s
7102RP,1549,2017-12-15 12:48:18,2017-12-15 13:18:18,move shelf to dock,process activity,robot,23r,shelf,90s
4525RP,1574,2017-12-15 13:02:18,2017-12-15 13:22:18,go to approriate shelf,process activity,robot,65r,shelf,491s
6966RP,1561,2017-12-15 12:56:18,2017-12-15 13:27:18,reduce speed,process activity,robot,17r,shelf,297s
6966RP,1531,2017-12-15 12:38:18,2017-12-15 13:27:18,move shelf to dock,process activity,robot,17r,shelf,297s
2568RP,1577,2017-12-15 13:05:18,2017-12-15 13:29:18,go to approriate shelf,process activity,robot,81r,shelf,497s
8247RP,1572,2017-12-15 13:01:18,2017-12-15 13:31:18,putdown current shelf,process activity,robot,53r,shelf,-1s
3725RP,1588,2017-12-15 13:13:18,2017-12-15 13:33:18,go to approriate shelf,process activity,robot,35r,shelf,376s
2127RP,1593,2017-12-15 13:15:18,2017-12-15 13:33:18,go to approriate shelf,process activity,robot,8r,shelf,442s
8205RP,1598,2017-12-15 13:20:18,2017-12-15 13:35:18,putdown current shelf,process activity,robot,39r,shelf,-1s
3088RP,1602,2017-12-15 13:21:18,2017-12-15 13:37:18,putdown current shelf,process activity,robot,25r,shelf,-1s
8955RP,1603,2017-12-15 13:22:18,2017-12-15 13:37:18,putdown current shelf,process activity,robot,43r,shelf,-1s
5907RP,1580,2017-12-15 13:08:18,2017-12-15 13:39:18,move shelf to dock,process activity,robot,32r,shelf,39s
9968RP,1592,2017-12-15 13:15:18,2017-12-15 13:40:18,putdown current shelf,process activity,robot,54r,shelf,-1s
9867RP,1629,2017-12-15 13:36:18,2017-12-15 13:40:18,putdown current shelf,process activity,robot,93r,shelf,-1s
8690RP,1628,2017-12-15 13:36:18,2017-12-15 13:41:18,putdown current shelf,process activity,robot,11r,shelf,-1s
1019RP,1612,2017-12-15 13:27:18,2017-12-15 13:44:18,move shelf to dock,process activity,robot,4r,shelf,307s
141RP,1625,2017-12-15 13:35:18,2017-12-15 13:45:18,putdown current shelf,process activity,robot,57r,shelf,-1s
7325RP,1620,2017-12-15 13:32:18,2017-12-15 13:45:18,reduce speed,process activity,robot,78r,shelf,396s
