Event Id,Chip Name,Timestamp,Item Id
8489SR,shelfMoved,2017-12-20 16:08:18,212s
8490SR,shelfDelivered,2017-12-20 16:10:18,95s
8501SR,shelfMoved,2017-12-20 16:21:18,462s
8512SR,shelfMoved,2017-12-20 16:36:18,127s
8516SR,shelfDelivered,2017-12-20 16:39:18,127s
8517SR,shelfDelivered,2017-12-20 16:40:18,212s
8523SR,shelfDelivered,2017-12-20 16:44:18,462s
8524SR,shelfMoved,2017-12-20 16:46:18,256s
8543SR,shelfMoved,2017-12-20 17:02:18,85s
8545SR,shelfDelivered,2017-12-20 17:03:18,256s
8550SR,shelfDelivered,2017-12-20 17:14:18,85s
8569SR,shelfMoved,2017-12-20 17:40:18,104s
8579SR,shelfDelivered,2017-12-20 17:56:18,104s
8580SR,shelfMoved,2017-12-20 17:58:18,304s
8582SR,shelfMoved,2017-12-20 17:59:18,58s
8588SR,shelfDelivered,2017-12-20 18:05:18,58s
8594SR,shelfMoved,2017-12-20 18:11:18,320s
8606SR,shelfDelivered,2017-12-20 18:28:18,304s
8613SR,shelfDelivered,2017-12-20 18:36:18,320s
8628SR,shelfMoved,2017-12-20 18:49:18,35s
8630SR,shelfMoved,2017-12-20 18:51:18,409s
8638SR,shelfDelivered,2017-12-20 19:01:18,409s
8644SR,shelfMoved,2017-12-20 19:07:18,372s
8648SR,shelfDelivered,2017-12-20 19:14:18,372s
8652SR,shelfDelivered,2017-12-20 19:17:18,35s
8670SR,shelfMoved,2017-12-20 19:39:18,161s
8681SR,shelfMoved,2017-12-20 19:51:18,437s
8683SR,shelfDelivered,2017-12-20 19:53:18,161s
8696SR,shelfMoved,2017-12-20 20:10:18,435s
8698SR,shelfMoved,2017-12-20 20:11:18,181s
8707SR,shelfDelivered,2017-12-20 20:21:18,437s
8711SR,shelfMoved,2017-12-20 20:25:18,495s
8719SR,shelfDelivered,2017-12-20 20:29:18,495s
8722SR,shelfMoved,2017-12-20 20:33:18,40s
8723SR,shelfDelivered,2017-12-20 20:33:18,181s
8743SR,shelfMoved,2017-12-20 20:52:18,147s
8745SR,shelfDelivered,2017-12-20 20:54:18,40s
8758SR,shelfMoved,2017-12-20 21:02:18,144s
8763SR,shelfMoved,2017-12-20 21:07:18,289s
8770SR,shelfDelivered,2017-12-20 21:16:18,147s
8773SR,shelfDelivered,2017-12-20 21:18:18,144s
8787SR,shelfDelivered,2017-12-20 21:28:18,289s
8802SR,shelfMoved,2017-12-20 21:45:18,464s
8803SR,shelfMoved,2017-12-20 21:45:18,268s
8807SR,shelfDelivered,2017-12-20 21:48:18,268s
8823SR,shelfDelivered,2017-12-20 22:14:18,464s
8831SR,shelfMoved,2017-12-20 22:19:18,317s
8838SR,shelfMoved,2017-12-20 22:29:18,102s
8839SR,shelfMoved,2017-12-20 22:30:18,414s
8844SR,shelfDelivered,2017-12-20 22:33:18,317s
8850SR,shelfDelivered,2017-12-20 22:36:18,102s
8853SR,shelfDelivered,2017-12-20 22:39:18,414s
8859SR,shelfMoved,2017-12-20 22:45:18,224s
8867SR,shelfDelivered,2017-12-20 22:53:18,224s
8876SR,shelfMoved,2017-12-20 23:05:18,457s
8885SR,shelfDelivered,2017-12-20 23:20:18,457s
8903SR,shelfMoved,2017-12-20 23:37:18,221s
8908SR,shelfMoved,2017-12-20 23:40:18,458s
8915SR,shelfMoved,2017-12-20 23:48:18,480s
8919SR,shelfDelivered,2017-12-20 23:52:18,480s
8927SR,shelfDelivered,2017-12-21 00:01:18,221s
8936SR,shelfDelivered,2017-12-21 00:06:18,458s
8941SR,shelfMoved,2017-12-21 00:12:18,51s
8947SR,shelfDelivered,2017-12-21 00:25:18,51s
8959SR,shelfMoved,2017-12-21 00:36:18,176s
8980SR,shelfMoved,2017-12-21 01:16:18,324s
8989SR,shelfMoved,2017-12-21 01:39:18,134s
8992SR,shelfMoved,2017-12-21 01:42:18,148s
9005SR,shelfMoved,2017-12-21 01:56:18,39s
9007SR,shelfDelivered,2017-12-21 01:57:18,148s
9012SR,shelfDelivered,2017-12-21 02:01:18,134s
9019SR,shelfDelivered,2017-12-21 02:08:18,39s
9020SR,shelfMoved,2017-12-21 02:09:18,458s
9034SR,shelfDelivered,2017-12-21 02:19:18,458s
9045SR,shelfMoved,2017-12-21 02:28:18,174s
9064SR,shelfMoved,2017-12-21 02:49:18,268s
9072SR,shelfDelivered,2017-12-21 02:57:18,174s
9082SR,shelfMoved,2017-12-21 03:04:18,151s
9084SR,shelfMoved,2017-12-21 03:06:18,191s
9087SR,shelfMoved,2017-12-21 03:12:18,389s
9096SR,shelfDelivered,2017-12-21 03:20:18,151s
9098SR,shelfDelivered,2017-12-21 03:22:18,389s
9106SR,shelfMoved,2017-12-21 03:31:18,227s
9108SR,shelfDelivered,2017-12-21 03:35:18,191s
9120SR,shelfDelivered,2017-12-21 03:58:18,227s
9133SR,shelfMoved,2017-12-21 04:22:18,417s
9152SR,shelfMoved,2017-12-21 04:46:18,223s
9153SR,shelfDelivered,2017-12-21 04:48:18,417s
9160SR,shelfDelivered,2017-12-21 04:54:18,223s
9168SR,shelfMoved,2017-12-21 05:01:18,453s
9178SR,shelfMoved,2017-12-21 05:20:18,261s
9183SR,shelfDelivered,2017-12-21 05:25:18,453s
9188SR,shelfDelivered,2017-12-21 05:27:18,261s
9195SR,shelfMoved,2017-12-21 05:35:18,452s
9198SR,shelfMoved,2017-12-21 05:36:18,369s
9200SR,shelfMoved,2017-12-21 05:38:18,113s
9203SR,shelfDelivered,2017-12-21 05:40:18,369s
9209SR,shelfDelivered,2017-12-21 05:44:18,113s
9216SR,shelfDelivered,2017-12-21 05:49:18,452s
9235SR,shelfMoved,2017-12-21 06:25:18,475s
9243SR,shelfDelivered,2017-12-21 06:39:18,475s
9246SR,shelfMoved,2017-12-21 06:43:18,325s
9257SR,shelfMoved,2017-12-21 06:55:18,353s
9260SR,shelfDelivered,2017-12-21 06:58:18,325s
9267SR,shelfMoved,2017-12-21 07:04:18,208s
9273SR,shelfDelivered,2017-12-21 07:09:18,353s
9283SR,shelfDelivered,2017-12-21 07:30:18,208s
9293SR,shelfMoved,2017-12-21 07:39:18,154s
9296SR,shelfDelivered,2017-12-21 07:44:18,154s
9313SR,shelfMoved,2017-12-21 08:03:18,330s
9322SR,shelfMoved,2017-12-21 08:12:18,204s
9324SR,shelfMoved,2017-12-21 08:12:18,79s
9328SR,shelfDelivered,2017-12-21 08:16:18,330s
9337SR,shelfDelivered,2017-12-21 08:26:18,79s
9349SR,shelfDelivered,2017-12-21 08:41:18,204s
9355SR,shelfMoved,2017-12-21 08:48:18,402s
9368SR,shelfMoved,2017-12-21 09:08:18,343s
9373SR,shelfDelivered,2017-12-21 09:17:18,402s
9378SR,shelfDelivered,2017-12-21 09:21:18,343s
9392SR,shelfMoved,2017-12-21 09:30:18,351s
9396SR,shelfDelivered,2017-12-21 09:37:18,351s
9398SR,shelfMoved,2017-12-21 09:38:18,376s
9415SR,shelfDelivered,2017-12-21 10:07:18,376s
9431SR,shelfMoved,2017-12-21 10:25:18,225s
9433SR,shelfMoved,2017-12-21 10:29:18,228s
9434SR,shelfDelivered,2017-12-21 10:30:18,225s
9447SR,shelfMoved,2017-12-21 10:46:18,201s
9455SR,shelfDelivered,2017-12-21 10:53:18,228s
9458SR,shelfMoved,2017-12-21 10:55:18,399s
9474SR,shelfDelivered,2017-12-21 11:10:18,201s
9476SR,shelfDelivered,2017-12-21 11:11:18,399s
9489SR,shelfMoved,2017-12-21 11:25:18,470s
9491SR,shelfMoved,2017-12-21 11:27:18,298s
9501SR,shelfDelivered,2017-12-21 11:33:18,470s
9507SR,shelfMoved,2017-12-21 11:40:18,329s
9510SR,shelfDelivered,2017-12-21 11:44:18,298s
9529SR,shelfDelivered,2017-12-21 12:02:18,329s
9531SR,shelfMoved,2017-12-21 12:03:18,323s
9540SR,shelfDelivered,2017-12-21 12:12:18,323s
9542SR,shelfMoved,2017-12-21 12:15:18,290s
9556SR,shelfDelivered,2017-12-21 12:34:18,290s
9559SR,shelfMoved,2017-12-21 12:39:18,35s
9579SR,shelfMoved,2017-12-21 12:59:18,153s
9586SR,shelfDelivered,2017-12-21 13:08:18,153s
9591SR,shelfMoved,2017-12-21 13:12:18,320s
9592SR,shelfDelivered,2017-12-21 13:13:18,35s
9594SR,shelfMoved,2017-12-21 13:15:18,294s
9614SR,shelfDelivered,2017-12-21 13:36:18,294s
9619SR,shelfDelivered,2017-12-21 13:41:18,320s
9630SR,shelfMoved,2017-12-21 13:54:18,358s
9640SR,shelfDelivered,2017-12-21 14:15:18,358s
9653SR,shelfMoved,2017-12-21 14:36:18,337s
9662SR,shelfDelivered,2017-12-21 14:45:18,337s
