Case Id,Event Id,Start Timestamp,End Timesstamp,Event name,Event type,Ressource Group,Ressource Id
70,1494,2017-08-23 22:24:27,2017-08-23 22:29:47,Request product,process activity,clerk,1
988,1500,2017-08-23 22:32:34,2017-08-23 22:36:42,move shelf from clerk dock,process activity,robot,3
197,1493,2017-08-23 22:24:27,2017-08-23 22:36:42,move shelf to dock,process activity,robot,1
1228,1504,2017-08-23 22:36:42,2017-08-23 22:42:58,Request product,process activity,clerk,1
1341,1503,2017-08-23 22:36:42,2017-08-23 22:46:34,collect product from shelf,manual activity ,clerk,1
418,1513,2017-08-23 22:46:34,2017-08-23 22:48:51,Request product,process activity,clerk,1
947,1507,2017-08-23 22:39:55,2017-08-23 22:55:07,do extra check,manual activity ,clerk,1
468,1517,2017-08-23 22:50:17,2017-08-23 22:58:13,Request product,process activity,clerk,1
197,1516,2017-08-23 22:50:17,2017-08-23 22:59:14,collect product from shelf,manual activity ,clerk,1
1341,1523,2017-08-23 22:58:13,2017-08-23 23:02:06,move shelf from clerk dock,process activity,robot,0
947,1521,2017-08-23 22:55:07,2017-08-23 23:06:36,Package product,manual activity ,clerk,1
197,1529,2017-08-23 23:03:22,2017-08-23 23:06:36,move shelf from clerk dock,process activity,robot,1
274,1527,2017-08-23 23:02:06,2017-08-23 23:06:36,Request product,process activity,clerk,1
95,1534,2017-08-23 23:09:14,2017-08-23 23:12:35,Request product,process activity,clerk,1
189,1538,2017-08-23 23:12:35,2017-08-23 23:15:14,putdown current shelf,process activity,robot,1
989,1540,2017-08-23 23:13:38,2017-08-23 23:15:14,Request product,process activity,clerk,1
189,1541,2017-08-23 23:15:14,2017-08-23 23:17:39,go to approriate shelf,process activity,robot,1
882,1544,2017-08-23 23:20:46,2017-08-23 23:22:38,Request product,process activity,clerk,1
328,1537,2017-08-23 23:12:35,2017-08-23 23:24:35,Package product,manual activity ,clerk,1
1292,1548,2017-08-23 23:24:35,2017-08-23 23:26:13,Request product,process activity,clerk,1
1121,1549,2017-08-23 23:24:35,2017-08-23 23:28:09,putdown current shelf,process activity,robot,3
311,1554,2017-08-23 23:28:09,2017-08-23 23:29:34,Request product,process activity,clerk,1
1121,1555,2017-08-23 23:28:09,2017-08-23 23:33:19,go to approriate shelf,process activity,robot,3
197,1551,2017-08-23 23:26:13,2017-08-23 23:35:44,Package product,manual activity ,clerk,1
1349,1558,2017-08-23 23:33:19,2017-08-23 23:35:44,Request product,process activity,clerk,1
988,1563,2017-08-23 23:38:46,2017-08-23 23:40:18,Package product,manual activity ,clerk,1
189,1557,2017-08-23 23:31:30,2017-08-23 23:40:18,reduce speed,process activity,robot,1
189,1546,2017-08-23 23:22:38,2017-08-23 23:40:18,move shelf to dock,process activity,robot,1
1069,1561,2017-08-23 23:37:00,2017-08-23 23:43:38,putdown current shelf,process activity,robot,2
1121,1565,2017-08-23 23:40:18,2017-08-23 23:46:35,move shelf to dock,process activity,robot,3
