Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
495RP,2017-12-28 17:14:13,2017-12-28 17:18:13,putdown current shelf,process activity,robot,3r,shelf,-1s,1418
395RP,2017-12-28 17:05:13,2017-12-28 17:19:13,move shelf from dock,process activity,robot,8r,shelf,0s,1408
388RP,2017-12-28 17:06:13,2017-12-28 17:19:13,go to approriate shelf,process activity,robot,0r,shelf,20s,1410
495RP,2017-12-28 17:18:13,2017-12-28 17:22:13,go to approriate shelf,process activity,robot,3r,shelf,0s,1420
317RP,2017-12-28 17:18:13,2017-12-28 17:26:13,reduce speed,process activity,robot,2r,shelf,1s,1419
317RP,2017-12-28 17:11:13,2017-12-28 17:26:13,move shelf to dock,process activity,robot,2r,shelf,1s,1413
484RP,2017-12-28 17:25:13,2017-12-28 17:26:13,putdown current shelf,process activity,robot,1r,shelf,-1s,1428
495RP,2017-12-28 17:23:13,2017-12-28 17:32:13,move shelf to dock,process activity,robot,3r,shelf,0s,1424
484RP,2017-12-28 17:27:13,2017-12-28 17:33:13,go to approriate shelf,process activity,robot,1r,shelf,17s,1430
388RP,2017-12-28 17:36:13,2017-12-28 17:39:13,reduce speed,process activity,robot,0r,shelf,20s,1440
388RP,2017-12-28 17:22:13,2017-12-28 17:39:13,move shelf to dock,process activity,robot,0r,shelf,20s,1422
317RP,2017-12-28 17:32:13,2017-12-28 17:41:13,move shelf from dock,process activity,robot,2r,shelf,1s,1434
254RP,2017-12-28 17:42:13,2017-12-28 17:44:13,putdown current shelf,process activity,robot,7r,shelf,11s,1453
495RP,2017-12-28 17:39:13,2017-12-28 17:45:13,move shelf from dock,process activity,robot,3r,shelf,0s,1445
254RP,2017-12-28 17:44:13,2017-12-28 17:47:13,go to approriate shelf,process activity,robot,7r,shelf,21s,1455
254RP,2017-12-28 17:49:13,2017-12-28 17:52:13,move shelf to dock,process activity,robot,7r,shelf,21s,1458
388RP,2017-12-28 17:45:13,2017-12-28 17:54:13,move shelf from dock,process activity,robot,0r,shelf,20s,1456
484RP,2017-12-28 17:42:13,2017-12-28 17:55:13,reduce speed,process activity,robot,1r,shelf,17s,1451
484RP,2017-12-28 17:35:13,2017-12-28 17:55:13,move shelf to dock,process activity,robot,1r,shelf,17s,1437
457RP,2017-12-28 18:01:13,2017-12-28 18:04:13,putdown current shelf,process activity,robot,9r,shelf,2s,1471
457RP,2017-12-28 18:05:13,2017-12-28 18:07:13,go to approriate shelf,process activity,robot,9r,shelf,13s,1475
254RP,2017-12-28 17:59:13,2017-12-28 18:14:13,move shelf from dock,process activity,robot,7r,shelf,21s,1468
484RP,2017-12-28 18:04:13,2017-12-28 18:18:13,move shelf from dock,process activity,robot,1r,shelf,17s,1473
457RP,2017-12-28 18:08:13,2017-12-28 18:18:13,move shelf to dock,process activity,robot,9r,shelf,13s,1477
267RP,2017-12-28 18:29:13,2017-12-28 18:31:13,putdown current shelf,process activity,robot,5r,shelf,17s,1488
267RP,2017-12-28 18:32:13,2017-12-28 18:34:13,go to approriate shelf,process activity,robot,5r,shelf,12s,1493
457RP,2017-12-28 18:23:13,2017-12-28 18:36:13,move shelf from dock,process activity,robot,9r,shelf,13s,1486
162RP,2017-12-28 18:46:13,2017-12-28 18:47:13,putdown current shelf,process activity,robot,8r,shelf,0s,1501
267RP,2017-12-28 18:36:13,2017-12-28 18:50:13,move shelf to dock,process activity,robot,5r,shelf,12s,1496
162RP,2017-12-28 18:47:13,2017-12-28 19:01:13,go to approriate shelf,process activity,robot,8r,shelf,21s,1502
267RP,2017-12-28 18:57:13,2017-12-28 19:08:13,move shelf from dock,process activity,robot,5r,shelf,12s,1508
407RP,2017-12-28 19:05:13,2017-12-28 19:13:13,putdown current shelf,process activity,robot,6r,shelf,0s,1513
