Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
79CP,2017-12-28 18:49:13,2017-12-28 19:09:13,Request product,process activity,clerk,1c,product,79p,1503
79CP,2017-12-28 19:10:13,2017-12-28 19:10:13,Assgin robot,process activity,robot,4r,shelf,9s,1519
33CP,2017-12-28 19:07:13,2017-12-28 19:28:13,Request product,process activity,clerk,1c,product,33p,1516
33CP,2017-12-28 19:29:13,2017-12-28 19:29:13,Assgin robot,process activity,robot,2r,shelf,6s,1536
495CP,2017-12-28 19:33:13,2017-12-28 19:33:13,Product Delivered,process activity,clerk,1c,product,495p,1541
388CP,2017-12-28 19:33:13,2017-12-28 19:33:13,check if the product was shaked,process activity,clerk,1c,product,388p,1542
304CP,2017-12-28 19:35:13,2017-12-28 19:50:13,Request product,process activity,clerk,1c,product,304p,1545
304CP,2017-12-28 19:51:13,2017-12-28 19:51:13,Assgin robot,process activity,robot,3r,shelf,12s,1553
388CP,2017-12-28 19:53:13,2017-12-28 19:53:13,Product Delivered,process activity,clerk,1c,product,388p,1555
407CP,2017-12-28 19:54:13,2017-12-28 19:54:13,check if the product was shaked,process activity,clerk,1c,product,407p,1557
407CP,2017-12-28 20:03:13,2017-12-28 20:03:13,Product Delivered,process activity,clerk,1c,product,407p,1565
153CP,2017-12-28 19:55:13,2017-12-28 20:03:13,Request product,process activity,clerk,1c,product,153p,1558
153CP,2017-12-28 20:04:13,2017-12-28 20:04:13,Assgin robot,process activity,robot,0r,shelf,9s,1566
254CP,2017-12-28 20:05:13,2017-12-28 20:05:13,check if the product was shaked,process activity,clerk,1c,product,254p,1568
438CP,2017-12-28 20:08:13,2017-12-28 20:11:13,Request product,process activity,clerk,1c,product,438p,1570
438CP,2017-12-28 20:12:13,2017-12-28 20:12:13,Assgin robot,process activity,robot,6r,shelf,8s,1572
254CP,2017-12-28 20:24:13,2017-12-28 20:24:13,Product Delivered,process activity,clerk,1c,product,254p,1582
484CP,2017-12-28 20:25:13,2017-12-28 20:25:13,check if the product was shaked,process activity,clerk,1c,product,484p,1585
157CP,2017-12-28 20:25:13,2017-12-28 20:41:13,Request product,process activity,clerk,1c,product,157p,1584
157CP,2017-12-28 20:41:13,2017-12-28 20:42:13,Assgin robot,process activity,robot,7r,shelf,20s,1595
484CP,2017-12-28 20:42:13,2017-12-28 20:42:13,Product Delivered,process activity,clerk,1c,product,484p,1596
