Chip,Timestamp,Item Id,Entry Id
disposeShelf,2017-12-29 04:43:13,6r,1932
shelfMoved,2017-12-29 04:51:13,0r,1935
shelfDelivered,2017-12-29 05:04:13,0r,1944
disposeShelf,2017-12-29 05:07:13,0r,1948
shelfMoved,2017-12-29 05:20:13,4r,1956
shelfMoved,2017-12-29 05:28:13,2r,1966
shelfMoved,2017-12-29 05:44:13,9r,1977
shelfDelivered,2017-12-29 05:48:13,4r,1979
disposeShelf,2017-12-29 05:51:13,4r,1983
shelfDelivered,2017-12-29 05:56:13,2r,1989
disposeShelf,2017-12-29 06:01:13,2r,1995
shelfDelivered,2017-12-29 06:10:13,9r,2003
disposeShelf,2017-12-29 06:13:13,9r,2007
shelfMoved,2017-12-29 06:28:13,1r,2021
shelfDelivered,2017-12-29 06:33:13,1r,2027
disposeShelf,2017-12-29 06:38:13,1r,2029
shelfMoved,2017-12-29 06:48:13,8r,2031
shelfMoved,2017-12-29 06:50:13,0r,2032
shelfMoved,2017-12-29 07:16:13,7r,2053
shelfDelivered,2017-12-29 07:19:13,0r,2055
shelfDelivered,2017-12-29 07:22:13,8r,2058
shelfDelivered,2017-12-29 07:25:13,7r,2059
disposeShelf,2017-12-29 07:43:13,0r,2070
shelfMoved,2017-12-29 07:45:13,5r,2071
disposeShelf,2017-12-29 08:00:13,8r,2076
shelfDelivered,2017-12-29 08:07:13,5r,2077
disposeShelf,2017-12-29 08:09:13,7r,2079
shelfMoved,2017-12-29 08:12:13,3r,2081
shelfMoved,2017-12-29 08:14:13,6r,2083
shelfDelivered,2017-12-29 08:34:13,6r,2088
shelfDelivered,2017-12-29 08:35:13,3r,2089
disposeShelf,2017-12-29 08:38:13,5r,2095
disposeShelf,2017-12-29 08:44:13,3r,2102
disposeShelf,2017-12-29 08:45:13,6r,2105
shelfMoved,2017-12-29 08:50:13,4r,2111
shelfDelivered,2017-12-29 09:19:13,4r,2124
disposeShelf,2017-12-29 09:24:13,4r,2127
shelfMoved,2017-12-29 09:28:13,2r,2130
shelfDelivered,2017-12-29 09:42:13,2r,2143
disposeShelf,2017-12-29 09:45:13,2r,2145
shelfMoved,2017-12-29 09:47:13,9r,2146
shelfDelivered,2017-12-29 10:00:13,9r,2156
disposeShelf,2017-12-29 10:06:13,9r,2158
shelfMoved,2017-12-29 10:09:13,1r,2164
shelfMoved,2017-12-29 10:14:13,0r,2166
shelfDelivered,2017-12-29 10:24:13,0r,2172
shelfDelivered,2017-12-29 10:29:13,1r,2180
disposeShelf,2017-12-29 10:32:13,0r,2183
disposeShelf,2017-12-29 10:34:13,1r,2185
shelfMoved,2017-12-29 10:41:13,8r,2188
shelfDelivered,2017-12-29 11:05:13,8r,2201
disposeShelf,2017-12-29 11:12:13,8r,2208
shelfMoved,2017-12-29 11:16:13,5r,2211
shelfMoved,2017-12-29 11:31:13,3r,2222
shelfDelivered,2017-12-29 11:39:13,5r,2224
shelfDelivered,2017-12-29 11:41:13,3r,2227
disposeShelf,2017-12-29 11:46:13,5r,2231
disposeShelf,2017-12-29 11:48:13,3r,2233
shelfMoved,2017-12-29 12:09:13,7r,2251
shelfMoved,2017-12-29 12:10:13,6r,2252
shelfMoved,2017-12-29 12:14:13,4r,2257
shelfDelivered,2017-12-29 12:18:13,7r,2260
shelfDelivered,2017-12-29 12:24:13,6r,2268
disposeShelf,2017-12-29 12:24:13,7r,2269
disposeShelf,2017-12-29 12:29:13,6r,2277
shelfDelivered,2017-12-29 12:46:13,4r,2288
shelfMoved,2017-12-29 12:50:13,2r,2291
disposeShelf,2017-12-29 12:51:13,4r,2293
shelfMoved,2017-12-29 12:58:13,9r,2299
shelfDelivered,2017-12-29 13:03:13,9r,2302
disposeShelf,2017-12-29 13:07:13,9r,2305
shelfDelivered,2017-12-29 13:17:13,2r,2307
disposeShelf,2017-12-29 13:22:13,2r,2314
shelfMoved,2017-12-29 13:47:13,8r,2326
shelfMoved,2017-12-29 13:52:13,5r,2329
shelfDelivered,2017-12-29 13:56:13,5r,2332
disposeShelf,2017-12-29 14:00:13,5r,2334
shelfDelivered,2017-12-29 14:15:13,8r,2344
disposeShelf,2017-12-29 14:23:13,8r,2349
shelfMoved,2017-12-29 14:31:13,3r,2355
shelfDelivered,2017-12-29 14:34:13,3r,2357
disposeShelf,2017-12-29 14:40:13,3r,2360
shelfMoved,2017-12-29 15:06:13,7r,2370
shelfMoved,2017-12-29 15:17:13,6r,2383
shelfMoved,2017-12-29 15:25:13,4r,2393
shelfDelivered,2017-12-29 15:31:13,7r,2397
shelfDelivered,2017-12-29 15:37:13,6r,2406
disposeShelf,2017-12-29 15:41:13,7r,2411
shelfDelivered,2017-12-29 15:43:13,4r,2412
disposeShelf,2017-12-29 15:46:13,6r,2417
disposeShelf,2017-12-29 15:51:13,4r,2425
shelfMoved,2017-12-29 16:00:13,2r,2432
shelfDelivered,2017-12-29 16:06:13,2r,2435
shelfMoved,2017-12-29 16:08:13,5r,2438
shelfMoved,2017-12-29 16:10:13,9r,2441
disposeShelf,2017-12-29 16:15:13,2r,2445
shelfDelivered,2017-12-29 16:21:13,5r,2449
disposeShelf,2017-12-29 16:27:13,5r,2457
shelfDelivered,2017-12-29 16:28:13,9r,2458
disposeShelf,2017-12-29 16:33:13,9r,2463
shelfMoved,2017-12-29 16:44:13,8r,2469
shelfMoved,2017-12-29 16:51:13,6r,2475
shelfDelivered,2017-12-29 17:00:13,8r,2478
shelfDelivered,2017-12-29 17:02:13,6r,2481
